,Station,Longitude,Latitude,Ref. value,Plot Color
671,ABERDEEN,-98.4131,45.4558,-0.001328546,No Color
931,ABERDEEN EXP STN,-112.8253,42.9536,-0.005423694,No Color
1286,ABERDEEN PHILLIPS FLD,-76.1697,39.4717,-0.005840726,No Color
2041,ABILENE,-97.2128,38.9267,-0.010592517,No Color
2384,ABILENE RGNL AP,-99.6822,32.4106,-0.003039194,No Color
1327,ABIQUIU DAM,-106.4278,36.2403,-0.010501108,No Color
1738,ACADEMY 2NE,-99.0631,43.4892,0.001538115,Dark Green
2495,ADDISON,-77.2344,42.1014,-0.003828451,No Color
31,ADEL,-119.8961,42.1761,0.001229552,Dark Green
936,ADRIAN 2 NNE,-84.0158,41.9164,-0.004192528,No Color
158,AFTON,-110.9297,42.7292,-0.007402801,No Color
1558,AGASSIZ REFUGE,-95.9817,48.3006,-0.007514569,No Color
273,AGUILA,-113.1875,33.9433,-0.00158514,No Color
2512,AGUIRRE,-66.2222,17.9556,-0.011841677,No Color
733,AIBONITO 1 S,-66.2642,18.1281,0.004783368,Darkest Green
1739,AINSWORTH,-99.8556,42.5522,-0.00446768,No Color
1494,AITKIN 2E,-93.6675,46.5258,-0.00226144,No Color
70,AJO,-112.86,32.3697,-0.007139517,No Color
1665,AKRON 4 E,-103.1417,40.155,-0.005864086,No Color
1767,AKRON CANTON RGNL AP,-81.4333,40.9167,-0.003122962,No Color
1859,AKRON WASHINGTON CO AP,-103.2167,40.1667,-0.005745039,No Color
2515,ALAMOSA SAN LUIS AP,-105.8614,37.4389,-0.005485544,No Color
2220,ALBANY 3 SE,-84.1489,31.5339,-0.008991105,No Color
1026,ALBANY AP,-73.8092,42.7431,-0.006824169,No Color
1690,ALBEMARLE,-80.1994,35.3992,-0.003552234,No Color
706,ALBERT LEA 3 SE,-93.3019,43.6064,-0.001365956,No Color
681,ALBERTA FORD FOR CTR,-88.4811,46.6447,-0.004419615,No Color
1936,ALBIA 3 NNE,-92.7867,41.0656,0.003034064,Darkest Green
2602,ALBION 1 N,-104.2647,45.2089,-0.007553623,No Color
2127,ALBION 2 NE,-78.1664,43.2722,-0.005556553,No Color
2047,ALBUQUERQUE INTL AP,-106.6156,35.0419,-0.008965878,No Color
1679,ALCALDE,-106.0567,36.0908,0.000695655,Dark Green
1222,ALCOVE DAM,-73.9267,42.4697,-0.006139392,No Color
1911,ALEDO,-90.7417,41.2019,0.001945937,Darkest Green
1105,ALEXANDRIA,-97.7847,43.6514,-0.003535469,No Color
1743,ALEXANDRIA MUNI AP,-95.3942,45.8678,-0.004867118,No Color
897,ALFRED,-77.7583,42.2497,-0.005371778,No Color
1433,ALGONA 3 W,-94.3053,43.0683,-0.001789623,No Color
2576,ALICEVILLE,-88.155,33.1272,-0.001707332,No Color
2269,ALLARDT,-84.8744,36.3806,-0.000709632,No Color
2570,ALLATOONA DAM 2,-84.73,34.165,-0.007445896,No Color
