,Station,Longitude,Latitude,Ref. value,Plot Color
671,ABERDEEN,-98.4131,45.4558,0.001240356,No Color
931,ABERDEEN EXP STN,-112.8253,42.9536,0.006232009,Yellow
1286,ABERDEEN PHILLIPS FLD,-76.1697,39.4717,0.005499097,Light Yellow
2041,ABILENE,-97.2128,38.9267,0.009612374,Darkest Yellow
2384,ABILENE RGNL AP,-99.6822,32.4106,0.00236558,No Color
1327,ABIQUIU DAM,-106.4278,36.2403,0.010212101,Darkest Yellow
1738,ACADEMY 2NE,-99.0631,43.4892,-0.002286268,No Color
2495,ADDISON,-77.2344,42.1014,0.00289761,No Color
31,ADEL,-119.8961,42.1761,-0.00131666,No Color
936,ADRIAN 2 NNE,-84.0158,41.9164,0.003954447,Light Yellow
158,AFTON,-110.9297,42.7292,0.005399549,Light Yellow
1558,AGASSIZ REFUGE,-95.9817,48.3006,0.007493256,Yellow
273,AGUILA,-113.1875,33.9433,-0.000690015,No Color
2512,AGUIRRE,-66.2222,17.9556,0.011555846,Darkest Yellow
733,AIBONITO 1 S,-66.2642,18.1281,-0.004428621,No Color
1739,AINSWORTH,-99.8556,42.5522,0.004047499,Light Yellow
1494,AITKIN 2E,-93.6675,46.5258,0.002392406,No Color
70,AJO,-112.86,32.3697,0.008417274,Dark Yellow
1665,AKRON 4 E,-103.1417,40.155,0.006198744,Yellow
1767,AKRON CANTON RGNL AP,-81.4333,40.9167,0.002884476,No Color
1859,AKRON WASHINGTON CO AP,-103.2167,40.1667,0.004663453,Light Yellow
2515,ALAMOSA SAN LUIS AP,-105.8614,37.4389,0.005939318,Light Yellow
2220,ALBANY 3 SE,-84.1489,31.5339,0.009062763,Dark Yellow
1026,ALBANY AP,-73.8092,42.7431,0.00573526,Light Yellow
1690,ALBEMARLE,-80.1994,35.3992,0.002611902,No Color
706,ALBERT LEA 3 SE,-93.3019,43.6064,0.001651082,No Color
681,ALBERTA FORD FOR CTR,-88.4811,46.6447,0.003278769,No Color
1936,ALBIA 3 NNE,-92.7867,41.0656,-0.003314854,No Color
2602,ALBION 1 N,-104.2647,45.2089,0.005570522,Light Yellow
2127,ALBION 2 NE,-78.1664,43.2722,0.006915553,Yellow
2047,ALBUQUERQUE INTL AP,-106.6156,35.0419,0.008868145,Dark Yellow
1679,ALCALDE,-106.0567,36.0908,-0.001321696,No Color
1222,ALCOVE DAM,-73.9267,42.4697,0.006027485,Yellow
1911,ALEDO,-90.7417,41.2019,-0.001762544,No Color
1105,ALEXANDRIA,-97.7847,43.6514,0.00313145,No Color
1743,ALEXANDRIA MUNI AP,-95.3942,45.8678,0.004253481,Light Yellow
897,ALFRED,-77.7583,42.2497,0.004973433,Light Yellow
1433,ALGONA 3 W,-94.3053,43.0683,0.002147208,No Color
2576,ALICEVILLE,-88.155,33.1272,0.002725388,No Color
2269,ALLARDT,-84.8744,36.3806,8.60E-05,No Color
2570,ALLATOONA DAM 2,-84.73,34.165,0.007870845,Yellow
1064,ALLEGANY SP,-78.7497,42.1003,0.002952148,No Color
1202,ALLENTOWN INTL AP,-75.4492,40.6508,0.005410654,Light Yellow
949,ALLIANCE 1WNW,-102.8967,42.1103,0.004138765,Light Yellow
2115,ALMA BACON CO AP,-82.5067,31.5358,0.005458732,Light Yellow
1347,ALMA DAM 4,-91.9194,44.3272,0.005360545,Light Yellow
1094,ALPENA CO RGNL AP,-83.5644,45.0717,0.006337713,Yellow
2479,ALPENA WWTP,-83.4281,45.0606,0.005209858,Light Yellow
58,ALTA 1 NNW,-111.0339,43.7728,0.002355071,No Color
138,ALTAMONT,-110.2878,40.3561,0.002868285,No Color
826,ALTENBERN,-108.3794,39.5008,0.003606889,No Color
89,ALTON,-112.4819,37.4403,0.005205995,Light Yellow
2551,ALTON MELVIN PRICE L&D,-90.1464,38.8664,0.006537933,Yellow
2114,ALTOONA BLAIR CO AP,-78.3203,40.2964,0.001463043,No Color
186,ALTURAS,NA,NA,0.000527778,No Color
2462,ALTUS DAM,-99.2964,34.8847,0.002233854,No Color
2331,ALUM FORK,-92.8417,34.7961,-0.002265209,No Color
1440,AMARILLO,-101.7089,35.2333,0.002586638,No Color
2459,AMERY,-92.3631,45.3011,0.002638798,No Color
1981,AMISTAD 5 SSW,-103.1819,35.8742,-8.89E-05,No Color
2456,AMITY 4 NE,-94.36,39.8914,0.002162601,No Color
666,ANACORTES,-122.6136,48.5119,0.006889186,Yellow
