,Station,Longitude,Latitude,Ref. value,Plot Color
671,ABERDEEN,-98.4131,45.4558,-0.00035968,No Color
931,ABERDEEN EXP STN,-112.8253,42.9536,-0.002104497,No Color
1286,ABERDEEN PHILLIPS FLD,-76.1697,39.4717,-0.001893614,No Color
2041,ABILENE,-97.2128,38.9267,-0.001321203,No Color
2384,ABILENE RGNL AP,-99.6822,32.4106,-0.000510296,No Color
1327,ABIQUIU DAM,-106.4278,36.2403,-0.00137223,No Color
1738,ACADEMY 2NE,-99.0631,43.4892,0.000712298,Darkest Blue
2495,ADDISON,-77.2344,42.1014,-0.001388062,No Color
31,ADEL,-119.8961,42.1761,0.000730541,Darkest Blue
936,ADRIAN 2 NNE,-84.0158,41.9164,-0.00085547,No Color
158,AFTON,-110.9297,42.7292,-0.001835084,No Color
1558,AGASSIZ REFUGE,-95.9817,48.3006,-0.001822229,No Color
273,AGUILA,-113.1875,33.9433,-0.000333027,No Color
2512,AGUIRRE,-66.2222,17.9556,0.000198253,No Color
733,AIBONITO 1 S,-66.2642,18.1281,0.000457959,Dark Blue
1739,AINSWORTH,-99.8556,42.5522,-0.000632599,No Color
1494,AITKIN 2E,-93.6675,46.5258,-0.001752404,No Color
70,AJO,-112.86,32.3697,-0.001799947,No Color
1665,AKRON 4 E,-103.1417,40.155,-0.002336638,No Color
1767,AKRON CANTON RGNL AP,-81.4333,40.9167,-0.001630541,No Color
1859,AKRON WASHINGTON CO AP,-103.2167,40.1667,-0.000826027,No Color
2515,ALAMOSA SAN LUIS AP,-105.8614,37.4389,-0.00051805,No Color
2220,ALBANY 3 SE,-84.1489,31.5339,-0.000610632,No Color
1026,ALBANY AP,-73.8092,42.7431,-0.001604758,No Color
1690,ALBEMARLE,-80.1994,35.3992,-8.95E-05,No Color
706,ALBERT LEA 3 SE,-93.3019,43.6064,-0.001111213,No Color
681,ALBERTA FORD FOR CTR,-88.4811,46.6447,-0.000310142,No Color
1936,ALBIA 3 NNE,-92.7867,41.0656,0.000607213,Dark Blue
2602,ALBION 1 N,-104.2647,45.2089,0.000579473,Dark Blue
2127,ALBION 2 NE,-78.1664,43.2722,-0.002483593,No Color
2047,ALBUQUERQUE INTL AP,-106.6156,35.0419,-0.001580134,No Color
1679,ALCALDE,-106.0567,36.0908,0.000244134,No Color
1222,ALCOVE DAM,-73.9267,42.4697,-0.001053046,No Color
1911,ALEDO,-90.7417,41.2019,-0.001121552,No Color
1105,ALEXANDRIA,-97.7847,43.6514,-0.000833005,No Color
1743,ALEXANDRIA MUNI AP,-95.3942,45.8678,-0.000683171,No Color
897,ALFRED,-77.7583,42.2497,-0.001270509,No Color
1433,ALGONA 3 W,-94.3053,43.0683,-0.000888039,No Color
2576,ALICEVILLE,-88.155,33.1272,-0.001220192,No Color
2269,ALLARDT,-84.8744,36.3806,-0.000142139,No Color
2570,ALLATOONA DAM 2,-84.73,34.165,-0.00092956,No Color
1064,ALLEGANY SP,-78.7497,42.1003,-0.001253418,No Color
1202,ALLENTOWN INTL AP,-75.4492,40.6508,-0.002196907,No Color
949,ALLIANCE 1WNW,-102.8967,42.1103,-9.49E-05,No Color
2115,ALMA BACON CO AP,-82.5067,31.5358,-0.000262084,No Color
1347,ALMA DAM 4,-91.9194,44.3272,-0.00236544,No Color
1094,ALPENA CO RGNL AP,-83.5644,45.0717,-0.000630412,No Color
2479,ALPENA WWTP,-83.4281,45.0606,-0.000929628,No Color
58,ALTA 1 NNW,-111.0339,43.7728,-0.001672384,No Color
138,ALTAMONT,-110.2878,40.3561,-0.000602318,No Color
826,ALTENBERN,-108.3794,39.5008,0.000364359,Dark Blue
89,ALTON,-112.4819,37.4403,-0.000403658,No Color
2551,ALTON MELVIN PRICE L&D,-90.1464,38.8664,-0.003538351,No Color
2114,ALTOONA BLAIR CO AP,-78.3203,40.2964,-0.000770627,No Color
186,ALTURAS,NA,NA,-0.001170038,No Color
2462,ALTUS DAM,-99.2964,34.8847,-0.001135753,No Color
2331,ALUM FORK,-92.8417,34.7961,0.000629504,Dark Blue
1440,AMARILLO,-101.7089,35.2333,-0.001501432,No Color
2459,AMERY,-92.3631,45.3011,-0.000880329,No Color
1981,AMISTAD 5 SSW,-103.1819,35.8742,0.000214489,No Color
