,Station,Longitude,Latitude,Ref. value,Plot Color
671,ABERDEEN,-98.4131,45.4558,0.00044787,No Color
931,ABERDEEN EXP STN,-112.8253,42.9536,0.001296182,Light Red
1286,ABERDEEN PHILLIPS FLD,-76.1697,39.4717,0.002235243,Red
2041,ABILENE,-97.2128,38.9267,0.002301346,Red
2384,ABILENE RGNL AP,-99.6822,32.4106,0.00118391,Light Red
1327,ABIQUIU DAM,-106.4278,36.2403,0.001661237,Red
1738,ACADEMY 2NE,-99.0631,43.4892,3.59E-05,No Color
2495,ADDISON,-77.2344,42.1014,0.002318902,Red
31,ADEL,-119.8961,42.1761,-0.000643433,No Color
936,ADRIAN 2 NNE,-84.0158,41.9164,0.001093551,Light Red
158,AFTON,-110.9297,42.7292,0.003838335,Darkest Red
1558,AGASSIZ REFUGE,-95.9817,48.3006,0.001843543,Red
273,AGUILA,-113.1875,33.9433,0.002608182,Dark Red
2512,AGUIRRE,-66.2222,17.9556,8.76E-05,No Color
733,AIBONITO 1 S,-66.2642,18.1281,-0.000812706,No Color
1739,AINSWORTH,-99.8556,42.5522,0.00105278,Light Red
1494,AITKIN 2E,-93.6675,46.5258,0.001621438,Red
70,AJO,-112.86,32.3697,0.00052219,No Color
1665,AKRON 4 E,-103.1417,40.155,0.00200198,Red
1767,AKRON CANTON RGNL AP,-81.4333,40.9167,0.001869027,Red
1859,AKRON WASHINGTON CO AP,-103.2167,40.1667,0.001907613,Red
2515,ALAMOSA SAN LUIS AP,-105.8614,37.4389,6.43E-05,No Color
2220,ALBANY 3 SE,-84.1489,31.5339,0.000538974,No Color
1026,ALBANY AP,-73.8092,42.7431,0.002693667,Dark Red
1690,ALBEMARLE,-80.1994,35.3992,0.001029873,Light Red
706,ALBERT LEA 3 SE,-93.3019,43.6064,0.000826087,No Color
681,ALBERTA FORD FOR CTR,-88.4811,46.6447,0.001450988,Light Red
1936,ALBIA 3 NNE,-92.7867,41.0656,-0.000326423,No Color
2602,ALBION 1 N,-104.2647,45.2089,0.001403628,Light Red
2127,ALBION 2 NE,-78.1664,43.2722,0.001124594,Light Red
2047,ALBUQUERQUE INTL AP,-106.6156,35.0419,0.001677867,Red
1679,ALCALDE,-106.0567,36.0908,0.000381907,No Color
1222,ALCOVE DAM,-73.9267,42.4697,0.001164953,Light Red
1911,ALEDO,-90.7417,41.2019,0.000938159,Light Red
1105,ALEXANDRIA,-97.7847,43.6514,0.001237025,Light Red
1743,ALEXANDRIA MUNI AP,-95.3942,45.8678,0.001296807,Light Red
897,ALFRED,-77.7583,42.2497,0.001668854,Red
1433,ALGONA 3 W,-94.3053,43.0683,0.000530454,No Color
2576,ALICEVILLE,-88.155,33.1272,0.000202135,No Color
2269,ALLARDT,-84.8744,36.3806,0.000765735,No Color
2570,ALLATOONA DAM 2,-84.73,34.165,0.000504611,No Color
1064,ALLEGANY SP,-78.7497,42.1003,0.001937035,Red
1202,ALLENTOWN INTL AP,-75.4492,40.6508,0.000965573,Light Red
949,ALLIANCE 1WNW,-102.8967,42.1103,0.001060001,Light Red
2115,ALMA BACON CO AP,-82.5067,31.5358,0.000592485,No Color
1347,ALMA DAM 4,-91.9194,44.3272,0.002034154,Red
1094,ALPENA CO RGNL AP,-83.5644,45.0717,0.001035174,Light Red
2479,ALPENA WWTP,-83.4281,45.0606,0.001729647,Red
58,ALTA 1 NNW,-111.0339,43.7728,0.001305476,Light Red
138,ALTAMONT,-110.2878,40.3561,0.001883161,Red
826,ALTENBERN,-108.3794,39.5008,0.000627516,No Color
89,ALTON,-112.4819,37.4403,0.000925337,Light Red
2551,ALTON MELVIN PRICE L&D,-90.1464,38.8664,0.004217284,Darkest Red
2114,ALTOONA BLAIR CO AP,-78.3203,40.2964,0.001060721,Light Red
186,ALTURAS,NA,NA,-0.000193591,No Color
2462,ALTUS DAM,-99.2964,34.8847,0.001350254,Light Red
2331,ALUM FORK,-92.8417,34.7961,5.20E-05,No Color
1440,AMARILLO,-101.7089,35.2333,0.001312973,Light Red
2459,AMERY,-92.3631,45.3011,0.002838417,Dark Red
1981,AMISTAD 5 SSW,-103.1819,35.8742,0.000764703,No Color
2456,AMITY 4 NE,-94.36,39.8914,0.000681844,No Color
666,ANACORTES,-122.6136,48.5119,0.001343735,Light Red
2580,ANADARKO 3 E,-98.1989,35.0619,-0.000556733,No Color
2353,ANAHUAC,-94.6342,29.7878,-0.000280332,No Color
185,ANCHORAGE INTL AP,-150.0278,61.1689,0.000204121,No Color
2707,ANCHORAGE MERRILL FLD,-149.855,61.2169,0.00596909,Darkest Red
991,ANDALUSIA 3 W,-86.5225,31.3072,0.000375923,No Color
533,ANDERSON CO AP,-82.7097,34.4978,-0.000486841,No Color
117,ANDERSON DAM,-115.4522,43.3572,0.001217165,Light Red
959,ANDERSON SEWAGE PLT,-85.7164,40.1117,0.00376471,Darkest Red
815,ANGELICA,-78.0231,42.3108,0.001231039,Light Red
1863,ANGLETON 2 W,-95.4592,29.1572,0.001813381,Red
358,ANGWIN PAC UNION COL,-122.4406,38.5731,0.001189112,Light Red
2030,ANIMAS 3ESE,-108.7689,31.9381,0.000499955,No Color
2482,ANKENY,-93.5742,41.7183,0.001193774,Light Red
1177,ANN ARBOR U OF MICH,-83.7108,42.2947,0.001993408,Red
2268,ANNA 2 NNE,-89.2344,37.4814,0.000398532,No Color
212,ANNETTE ISLAND AP,-131.5786,55.0389,0.000769786,No Color
1973,ANNEX CREEK,-134.1003,58.3183,-4.14E-05,No Color
1888,ANNISTON METRO AP,-85.8556,33.5872,0.00015271,No Color
1125,ANSON,-99.89,32.7667,-0.000790894,No Color
64,ANTELOPE 6 SSW,-120.7533,44.8197,-0.001597145,No Color
2585,ANTHONY,-98.0283,37.155,0.000227386,No Color
275,ANTIOCH PUMPING PLANT #3,-121.7525,37.9833,0.001676326,Red
1137,ANTLERS,-95.615,34.2208,-0.000917225,No Color
1562,APALACHICOLA AIRPORT,-85.0206,29.7258,0.000599908,No Color
1128,APPLETON,-88.4378,44.2769,0.001709266,Red
2344,APPLETON CITY,-94.0281,38.1869,-0.000125765,No Color
2393,ARCO,-113.2989,43.6356,0.001027676,Light Red
2601,ARDMORE 1 NW,-103.66,43.03,0.00046216,No Color
2345,ARKADELPHIA 2 N,-93.0589,34.1433,0.000963082,Light Red
223,ARROWROCK DAM,-115.9236,43.5936,0.003054268,Darkest Red
2040,ARTESIA 6S,-104.3836,32.7547,0.000189917,No Color
885,ARTHUR,-101.6914,41.5697,0.002102083,Red
667,ARTICHOKE LAKE,-96.1542,45.3783,0.001428791,Light Red
22,ASH MTN,-118.8253,36.4914,-0.000279038,No Color
2261,ASHBURN 3 ENE,NA,NA,-0.001423944,No Color
1587,ASHEBORO 2 W,-79.8378,35.7044,0.001236232,Light Red
1940,ASHEVILLE,-82.5567,35.5953,0.00127339,Light Red
1962,ASHEVILLE RGNL AP,-82.5375,35.4319,0.000588515,No Color
1305,ASHLAND,-77.4833,37.75,0.001927564,Red
2140,ASHLAND 3 ENE,-85.7789,33.2942,0.000316368,No Color
1747,ASHLAND NO 2,-96.3811,41.0408,0.000365542,No Color
785,ASHLEY,-99.3742,46.0406,0.001146282,Light Red
1282,ASHTON 1N,-111.2739,44.0425,0.001707098,Red
730,ASTORIA RGNL AP,-123.8825,46.1569,0.000508709,No Color
1964,ATHENS BEN EPPS AP,-83.3275,33.9481,0.00056798,No Color
2484,ATKINSON 3SW,-99.0303,42.5136,0.000829052,No Color
2029,ATLANTA HARTSFIELD INTL AP,-84.4417,33.63,0.00261381,Dark Red
2451,ATLANTIC 1 NE,-95.0039,41.4175,0.00078041,No Color
2163,ATLANTIC CITY,-74.4242,39.3792,0.003340374,Darkest Red
2149,ATLANTIC CITY INTL AP,-74.5672,39.4494,0.003329689,Darkest Red
2709,ATMORE,-87.4389,31.1819,0.00056375,No Color
744,ATWOOD,-101.0422,39.7997,0.000386715,No Color
3,AUBERRY 2 NW,-119.5128,37.0919,0.003433016,Darkest Red
2359,AUBURN 5 ESE,-95.7469,40.3706,0.001265387,Light Red
783,AUGUSTA,-112.3964,47.4931,0.000228686,No Color
1897,AUGUSTA BUSH FLD AP,-81.9633,33.3644,0.001380822,Light Red
990,AUGUSTA STATE AP,-69.7972,44.3206,0.001927736,Red
2678,AUGUSTINE 2E,-107.6211,34.075,0.000850257,No Color
1033,AURORA RSCH FARM,-76.6592,42.7339,0.002078898,Red
1041,AUSTIN-CAMP MABRY,-97.7603,30.3208,0.001473586,Light Red
281,AUSTIN #2,-117.0675,39.4931,0.001761645,Red
232,AUSTIN 1 W,-112.2656,46.6456,0.000288674,No Color
2642,AUSTIN BERGSTROM AP,-97.68,30.1831,0.00082156,No Color
628,AUSTIN WWT FAC,-92.9739,43.6542,0.001301641,Light Red
542,AVON PARK 2 W,-81.5267,27.5947,0.000154055,No Color
2059,AZTEC RUINS NM,-108.0006,36.835,0.000353961,No Color
2561,BACK BAY WR,-75.9114,36.6619,0.001387614,Light Red
888,BAD AXE,-82.9939,43.8081,0.00161923,Red
259,BAGDAD,-113.1739,34.5972,0.001247771,Light Red
747,BAILEY,-105.4767,39.4047,7.66E-05,No Color
249,BAKER CITY MUNI AP,-117.8086,44.8428,-0.000292114,No Color
256,BAKERSFIELD AP,-119.0542,35.4344,-0.000237734,No Color
2581,BALLINGER 2 NW,-99.9764,31.7414,0.000909465,Light Red
1084,BALMORHEA,-103.7403,30.9844,-0.000340321,No Color
1290,BALTIMORE WASH INTL AP,-76.6833,39.1667,0.001968237,Red
2229,BAMBERG,-81.0306,33.3,0.000711226,No Color
428,BANDON 2 NNE,-124.4019,43.1497,0.000170482,No Color
1047,BANGOR INTL AP,-68.8186,44.7978,0.000537269,No Color
2473,BANKHEAD LOCK & DAM,-87.3572,33.4528,0.001199518,Light Red
2169,BANNER ELK,-81.8742,36.1617,0.00099317,Light Red
1087,BARABOO,-89.7269,43.4583,0.002681529,Dark Red
1658,BARBOURVILLE,-83.8819,36.8825,-0.000650927,No Color
2064,BARDSTOWN 5E,-85.3847,37.8194,0.000182861,No Color
2217,BARRE FALLS DAM,-72.0275,42.4281,0.000139895,No Color
761,BARRE MONTPELIER AP,-72.5794,44.2033,0.001201325,Light Red
1173,BARROW POST ROGERS AP,-156.7814,71.2833,0.001944539,Red
116,BARSTOW DAGGETT AP,-116.7858,34.8536,0.000700598,No Color
1386,BARTLESVILLE F P FLD,-96.0261,36.7683,0.000149828,No Color
135,BARTLETT DAM,NA,NA,0.00199369,Red
323,BARTOW,-81.8433,27.8986,0.00162011,Red
1847,BASIN,-108.035,44.38,0.001527831,Light Red
833,BATAVIA,-78.1692,43.0303,0.002386297,Red
2272,BATESVILLE 2 SW,-89.9806,34.3061,0.000983829,Light Red
2321,BATESVILLE L&D 1,-91.6386,35.7597,0.000517688,No Color
2339,BATESVILLE LVSTK,-91.7944,35.8306,0.00042923,No Color
1055,BATON ROUGE RYAN AP,-91.1469,30.5372,0.001525844,Light Red
1702,BATTLE CREEK 5NW,-85.2667,42.3667,0.001525416,Light Red
227,BATTLE GROUND,-122.5286,45.7717,-0.000111517,No Color
566,BATTLE MOUNTAIN 4SE,-116.8917,40.6117,0.001057709,Light Red
1507,BAUDETTE,NA,NA,0.000170383,No Color
1635,BAXTER,-83.3303,36.8583,0.000505569,No Color
2317,BAY CITY WTR WKS,-95.975,28.9797,0.000929271,Light Red
2094,BAY MINETTE,-87.7853,30.8839,0.000680674,No Color
2227,BAYARD,-79.3683,39.2728,0.000189939,No Color
2660,BAYTOWN,-94.9908,29.9142,0.000696144,No Color
552,BAYVIEW MODEL BASIN,-116.5594,47.9803,0.000363077,No Color
1838,BEACONSFIELD,-94.0475,40.8236,-5.58E-05,No Color
2005,BEAUFORT MCAS,-80.7167,32.4833,0.000830895,No Color
586,BEAUMONT CITY,-94.0997,30.0969,0.000121199,No Color
2701,BEAUMONT RSCH CTR,-94.2928,30.0689,0.001202959,Light Red
1015,BEAVER CITY,-99.8278,40.1306,0.000255549,No Color
72,BEAVER FALLS,-131.4683,55.38,0.000494021,No Color
1642,BECKLEY VA HOSPITAL,-81.1939,37.7647,-5.00E-05,No Color
2632,BEDFORD HANSCOM FLD,-71.2894,42.47,0.001791816,Red
1502,BEEVILLE 5 NE,-97.7061,28.4575,0.000331674,No Color
1604,BELCOURT KEYA RADIO,-99.7508,48.8411,0.000857948,Light Red
973,BELFAST,-68.9892,44.4394,-7.79E-06,No Color
497,BELLE FOURCHE,-103.8511,44.6714,0.000706169,No Color
1805,BELLE MINA 2 N,-86.8819,34.6892,0.000279346,No Color
1866,BELLE PLAINE,-92.2764,41.8814,0.000755093,No Color
893,BELLEFONTAINE,-83.7747,40.3533,0.002366052,Red
2142,BELLEVILLE SIU RSCH,-89.8467,38.52,0.001990321,Red
1425,BELLEVUE L&D 12,-90.423,42.2611,0.000994276,Light Red
16,BELLINGHAM INTL AP,-122.5372,48.7939,0.000493709,No Color
1880,BELOIT,-89.0311,42.5039,0.00232589,Red
2497,BELTSVILLE,-76.9314,39.0303,0.0024587,Red
1990,BELZONI,-90.4919,33.1772,0.000195344,No Color
2413,BENBROOK DAM,-97.4439,32.6475,0.001004565,Light Red
69,BEND,-121.285,44.0569,0.000921621,Light Red
1580,BENKELMAN,-101.5325,40.0503,0.000673714,No Color
1680,BENT CREEK,-82.5967,35.5044,0.000199396,No Color
2612,BEOWAWE,-116.475,40.5903,0.00024854,No Color
1672,BEREA COLLEGE,-84.2908,37.5733,0.002189339,Red
1143,BERGLAND DAM,-89.5475,46.5869,0.00038178,No Color
390,BERKELEY,-122.2606,37.8744,-0.000470234,No Color
1918,BERNE WWTP,-84.9305,40.6683,0.001746811,Red
455,BETATAKIN,-110.5411,36.6778,0.002714271,Dark Red
424,BETHEL AP,-161.8292,60.785,0.001783481,Red
163,BETTLES AP,-151.5089,66.9161,-0.000263537,No Color
501,BEULAH,-118.1522,43.9092,0.000594525,No Color
433,BICKLETON,-120.3006,45.9981,0.000645006,No Color
443,BIG BAR 4 E,-123.2078,40.7406,-0.000571605,No Color
1039,BIG DELTA AP,-145.7214,63.9944,0.000361726,No Color
